49,Snowing without high winds,Daylight: Street light present,Frost/Ice
179,Fine with high winds,Daylight: Street light present,Frost/Ice
61,Unknown,Darkness: Street lights present and lit,Wet/Damp
124,Unknown,Daylight: Street light present,Wet/Damp
163,Snowing with high winds,Darkness: Street lights present and lit,Wet/Damp
171,Snowing without high winds,Daylight: Street light present,Snow
54,Unknown,Daylight: Street light present,Snow
175,Fine without high winds,Daylight: Street light present,Wet/Damp
135,Unknown,Darkeness: No street lighting,Frost/Ice
106,Raining with high winds,Darkness: Street lights present and lit,Snow
87,Fine with high winds,Darkness: Street lighting unknown,Snow
55,Fog or mist,Daylight: Street light present,Dry
161,Raining with high winds,Darkness: Street lights present but unlit,Wet/Damp
167,Fine without high winds,Darkness: Street lights present and lit,Flood (Over 3cm of water)
24,Raining with high winds,Daylight: Street light present,Snow
25,Snowing with high winds,Darkeness: No street lighting,Frost/Ice
39,Fog or mist,Darkness: Street lighting unknown,Dry
4,Snowing without high winds,Darkeness: No street lighting,Frost/Ice
91,Fog or mist,Darkness: Street lighting unknown,Wet/Damp
183,Fine with high winds,Darkness: Street lighting unknown,Dry
63,Fog or mist,Darkness: Street lights present but unlit,Wet/Damp
12,Fine with high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
176,Snowing without high winds,Darkness: Street lighting unknown,Dry
44,Raining without high winds,Darkness: Street lighting unknown,Wet/Damp
113,Fog or mist,Darkeness: No street lighting,Dry
89,Fog or mist,Darkness: Street lights present and lit,Snow
109,Raining with high winds,Darkness: Street lights present but unlit,Frost/Ice
122,Snowing with high winds,Darkeness: No street lighting,Snow
166,Unknown,Darkness: Street lights present but unlit,Dry
16,Raining with high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
46,Snowing with high winds,Darkness: Street lights present and lit,Snow
139,Raining without high winds,Darkness: Street lights present but unlit,Dry
121,Snowing without high winds,Darkness: Street lights present but unlit,Wet/Damp
6,Fine without high winds,Darkness: Street lighting unknown,Flood (Over 3cm of water)
19,Fine with high winds,Darkness: Street lights present but unlit,Snow
26,Fine with high winds,Darkness: Street lights present but unlit,Dry
111,Raining without high winds,Darkeness: No street lighting,Snow
94,Snowing without high winds,Daylight: Street light present,Flood (Over 3cm of water)
115,Fine with high winds,Darkness: Street lights present but unlit,Wet/Damp
79,Fine with high winds,Darkness: Street lighting unknown,Flood (Over 3cm of water)
103,Unknown,Darkness: Street lights present and lit,Dry
119,Fine without high winds,Darkness: Street lights present but unlit,Snow
145,Snowing with high winds,Daylight: Street light present,Frost/Ice
57,Unknown,Darkness: Street lighting unknown,Frost/Ice
76,Snowing with high winds,Darkness: Street lighting unknown,Wet/Damp
20,Snowing without high winds,Darkness: Street lights present and lit,Flood (Over 3cm of water)
92,Snowing with high winds,Darkness: Street lighting unknown,Frost/Ice
136,Fine without high winds,Darkness: Street lights present but unlit,Dry
90,Unknown,Darkness: Street lights present but unlit,Wet/Damp
159,Fine without high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
36,Raining without high winds,Darkness: Street lights present and lit,Dry
134,Raining with high winds,Darkness: Street lights present but unlit,Flood (Over 3cm of water)
68,Unknown,Daylight: Street light present,Dry
21,Fog or mist,Daylight: Street light present,Wet/Damp
13,Raining with high winds,Darkeness: No street lighting,Snow
7,Snowing without high winds,Darkeness: No street lighting,Dry
86,Fine with high winds,Darkness: Street lights present but unlit,Frost/Ice
93,Raining with high winds,Darkness: Street lighting unknown,Dry
10,Raining without high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
83,Snowing with high winds,Darkeness: No street lighting,Wet/Damp
71,Snowing without high winds,Darkness: Street lights present but unlit,Frost/Ice
148,Raining without high winds,Daylight: Street light present,Dry
129,Fine with high winds,Darkness: Street lights present and lit,Wet/Damp
31,Fine without high winds,Darkness: Street lighting unknown,Snow
88,Raining without high winds,Daylight: Street light present,Flood (Over 3cm of water)
77,Fine without high winds,Darkeness: No street lighting,Dry
64,Fog or mist,Darkness: Street lights present and lit,Frost/Ice
27,Snowing with high winds,Daylight: Street light present,Dry
67,Unknown,Darkeness: No street lighting,Flood (Over 3cm of water)
130,Fine with high winds,Darkeness: No street lighting,Dry
104,Fine without high winds,Darkness: Street lighting unknown,Frost/Ice
42,Raining with high winds,Darkness: Street lights present and lit,Dry
82,Snowing with high winds,Daylight: Street light present,Wet/Damp
9,Snowing without high winds,Darkness: Street lights present but unlit,Dry
138,Raining with high winds,Darkness: Street lights present and lit,Wet/Damp
14,Raining without high winds,Darkness: Street lighting unknown,Dry
65,Fine without high winds,Darkness: Street lighting unknown,Wet/Damp
105,Unknown,Darkness: Street lights present but unlit,Frost/Ice
157,Fine with high winds,Darkness: Street lights present and lit,Frost/Ice
22,Unknown,Darkeness: No street lighting,Dry
112,Snowing without high winds,Darkness: Street lights present but unlit,Snow
133,Fog or mist,Darkness: Street lights present but unlit,Dry
155,Raining without high winds,Darkness: Street lighting unknown,Flood (Over 3cm of water)
172,Snowing without high winds,Daylight: Street light present,Wet/Damp
29,Unknown,Darkness: Street lighting unknown,Dry
8,Raining without high winds,Daylight: Street light present,Wet/Damp
11,Snowing without high winds,Darkness: Street lights present and lit,Wet/Damp
28,Unknown,Darkeness: No street lighting,Snow
120,Raining without high winds,Darkness: Street lights present but unlit,Wet/Damp
1,Raining with high winds,Daylight: Street light present,Dry
182,Fog or mist,Daylight: Street light present,Flood (Over 3cm of water)
15,Snowing with high winds,Darkeness: No street lighting,Dry
45,Fine with high winds,Darkness: Street lights present and lit,Flood (Over 3cm of water)
185,Unknown,Darkness: Street lights present and lit,Frost/Ice
99,Fine without high winds,Daylight: Street light present,Frost/Ice
38,Fog or mist,Darkness: Street lights present and lit,Wet/Damp
174,Snowing with high winds,Darkness: Street lights present but unlit,Wet/Damp
180,Raining with high winds,Darkness: Street lights present and lit,Frost/Ice
152,Unknown,Daylight: Street light present,Flood (Over 3cm of water)
70,Raining without high winds,Darkeness: No street lighting,Dry
75,Raining with high winds,Darkness: Street lighting unknown,Wet/Damp
160,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp
52,Fine with high winds,Darkness: Street lights present and lit,Snow
100,Fine without high winds,Darkness: Street lights present but unlit,Flood (Over 3cm of water)
17,Fog or mist,Darkness: Street lights present and lit,Dry
72,Raining without high winds,Darkness: Street lighting unknown,Snow
137,Fine with high winds,Daylight: Street light present,Dry
144,Raining with high winds,Daylight: Street light present,Wet/Damp
140,Fine with high winds,Daylight: Street light present,Flood (Over 3cm of water)
97,Fine without high winds,Darkeness: No street lighting,Wet/Damp
153,Fog or mist,Darkness: Street lights present but unlit,Frost/Ice
177,Raining without high winds,Darkeness: No street lighting,Wet/Damp
101,Fine with high winds,Darkeness: No street lighting,Frost/Ice
81,Raining without high winds,Darkness: Street lights present but unlit,Frost/Ice
173,Raining without high winds,Darkness: Street lights present but unlit,Flood (Over 3cm of water)
108,Raining with high winds,Darkness: Street lights present but unlit,Snow
117,Fog or mist,Darkeness: No street lighting,Wet/Damp
154,Fine without high winds,Darkeness: No street lighting,Frost/Ice
5,Snowing without high winds,Darkness: Street lighting unknown,Frost/Ice
96,Unknown,Darkness: Street lights present and lit,Snow
66,Raining without high winds,Daylight: Street light present,Frost/Ice
18,Fine without high winds,Darkness: Street lights present and lit,Snow
56,Fog or mist,Darkeness: No street lighting,Flood (Over 3cm of water)
2,Snowing without high winds,Darkness: Street lighting unknown,Wet/Damp
158,Fine without high winds,Darkness: Street lights present and lit,Dry
85,Snowing with high winds,Daylight: Street light present,Snow
78,Snowing with high winds,Darkness: Street lights present and lit,Dry
164,Snowing with high winds,Darkness: Street lighting unknown,Snow
84,Raining without high winds,Darkness: Street lights present and lit,Frost/Ice
58,Fine with high winds,Darkeness: No street lighting,Snow
37,Snowing without high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
146,Fine without high winds,Darkness: Street lighting unknown,Dry
48,Fine with high winds,Darkness: Street lighting unknown,Frost/Ice
116,Fine without high winds,Daylight: Street light present,Snow
95,Fog or mist,Daylight: Street light present,Frost/Ice
168,Fog or mist,Darkeness: No street lighting,Frost/Ice
178,Fog or mist,Daylight: Street light present,Snow
150,Raining without high winds,Darkness: Street lighting unknown,Frost/Ice
127,Fine without high winds,Daylight: Street light present,Dry
51,Raining with high winds,Darkness: Street lights present and lit,Flood (Over 3cm of water)
62,Snowing without high winds,Darkness: Street lights present and lit,Frost/Ice
128,Snowing with high winds,Daylight: Street light present,Flood (Over 3cm of water)
165,Fine with high winds,Darkness: Street lighting unknown,Wet/Damp
169,Unknown,Darkeness: No street lighting,Wet/Damp
30,Fine without high winds,Darkness: Street lights present but unlit,Frost/Ice
23,Raining with high winds,Darkeness: No street lighting,Frost/Ice
74,Fine with high winds,Darkness: Street lights present and lit,Dry
151,Snowing without high winds,Darkness: Street lighting unknown,Snow
149,Unknown,Darkness: Street lighting unknown,Wet/Damp
162,Snowing with high winds,Darkness: Street lights present but unlit,Snow
147,Fine with high winds,Daylight: Street light present,Snow
32,Unknown,Darkness: Street lighting unknown,Snow
102,Fine without high winds,Darkeness: No street lighting,Snow
156,Fine without high winds,Daylight: Street light present,Flood (Over 3cm of water)
35,Raining without high winds,Daylight: Street light present,Snow
110,Raining with high winds,Darkness: Street lighting unknown,Frost/Ice
50,Raining with high winds,Darkness: Street lighting unknown,Flood (Over 3cm of water)
34,Fine without high winds,Darkness: Street lights present but unlit,Wet/Damp
126,Unknown,Darkness: Street lights present and lit,Flood (Over 3cm of water)
132,Snowing without high winds,Darkness: Street lights present and lit,Snow
53,Raining with high winds,Darkness: Street lights present but unlit,Dry
141,Fog or mist,Darkeness: No street lighting,Snow
181,Snowing with high winds,Darkeness: No street lighting,Flood (Over 3cm of water)
41,Raining without high winds,Darkness: Street lights present and lit,Snow
43,Fog or mist,Darkness: Street lights present but unlit,Snow
131,Fine without high winds,Darkness: Street lights present and lit,Frost/Ice
142,Unknown,Daylight: Street light present,Frost/Ice
80,Unknown,Darkness: Street lighting unknown,Flood (Over 3cm of water)
118,Snowing without high winds,Darkness: Street lights present and lit,Dry
114,Raining with high winds,Daylight: Street light present,Frost/Ice
143,Raining with high winds,Darkeness: No street lighting,Dry
47,Snowing with high winds,Darkness: Street lights present but unlit,Frost/Ice
170,Raining with high winds,Daylight: Street light present,Flood (Over 3cm of water)
125,Snowing without high winds,Darkeness: No street lighting,Snow
123,Snowing with high winds,Darkness: Street lights present and lit,Frost/Ice
69,Fine with high winds,Daylight: Street light present,Wet/Damp
60,Raining with high winds,Darkeness: No street lighting,Wet/Damp
3,Unknown,Darkness: Street lights present but unlit,Snow
73,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp
59,Snowing without high winds,Darkeness: No street lighting,Wet/Damp
33,Raining without high winds,Darkeness: No street lighting,Frost/Ice
184,Snowing without high winds,Daylight: Street light present,Dry
40,Raining without high winds,Darkness: Street lights present and lit,Flood (Over 3cm of water)
98,Fog or mist,Darkness: Street lighting unknown,Frost/Ice
107,Fine with high winds,Darkeness: No street lighting,Wet/Damp
